id,code_site,depth_m,sieve_mm,passants_pct,echantillon_id,created_at,updated_at
194,TEKPO,1,0.0069,31.91,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
193,TEKPO,1,0.0043,30.71,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
208,TEKPO,1.5,0.08,44.68,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
207,TEKPO,1.5,0.0563,41.27,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
206,TEKPO,1.5,0.041,38.98,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
205,TEKPO,1.5,0.0315,36.41,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
204,TEKPO,1.5,0.02,33.41,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
203,TEKPO,1.5,0.012,30.41,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
202,TEKPO,1.5,0.0072,27.99,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
201,TEKPO,1.5,0.0046,26.56,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
216,TEKPO,2,0.08,53.1,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
215,TEKPO,2,0.0615,49.54,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
214,TEKPO,2,0.0445,46.62,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
213,TEKPO,2,0.0335,42.33,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
212,TEKPO,2,0.0218,37.06,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
211,TEKPO,2,0.013,32.18,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
210,TEKPO,2,0.0077,28.28,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
209,TEKPO,2,0.0049,26.33,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
225,KONSOGOU_T1,1,0.0027,19.05,9e06f859-5e05-45e9-82c2-76714d8109f7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
224,KONSOGOU_T1,1,0.0032,20.06,9e06f859-5e05-45e9-82c2-76714d8109f7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
223,KONSOGOU_T1,1,0.0045,21.08,9e06f859-5e05-45e9-82c2-76714d8109f7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
222,KONSOGOU_T1,1,0.0064,22.11,9e06f859-5e05-45e9-82c2-76714d8109f7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
221,KONSOGOU_T1,1,0.009,23.14,9e06f859-5e05-45e9-82c2-76714d8109f7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
220,KONSOGOU_T1,1,0.0123,27.24,9e06f859-5e05-45e9-82c2-76714d8109f7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
219,KONSOGOU_T1,1,0.0192,29.3,9e06f859-5e05-45e9-82c2-76714d8109f7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
218,KONSOGOU_T1,1,0.027,30.32,9e06f859-5e05-45e9-82c2-76714d8109f7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
217,KONSOGOU_T1,1,0.0379,31.35,9e06f859-5e05-45e9-82c2-76714d8109f7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
234,KONSOGOU_T1,1.5,0.0028,13.86,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
233,KONSOGOU_T1,1.5,0.0035,13.85,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
232,KONSOGOU_T1,1.5,0.0048,15.33,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
231,KONSOGOU_T1,1.5,0.0068,16.82,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
230,KONSOGOU_T1,1.5,0.0095,17.57,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
229,KONSOGOU_T1,1.5,0.0132,19.81,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
228,KONSOGOU_T1,1.5,0.0204,22.05,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
227,KONSOGOU_T1,1.5,0.0284,23.54,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
226,KONSOGOU_T1,1.5,0.0399,24.29,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
243,KONSOGOU_T1,2,0.0032,14.39,b734d3fa-e838-4c2c-8292-1785199b5fc3,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
242,KONSOGOU_T1,2,0.004,14.38,b734d3fa-e838-4c2c-8292-1785199b5fc3,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
241,KONSOGOU_T1,2,0.0055,16.12,b734d3fa-e838-4c2c-8292-1785199b5fc3,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
240,KONSOGOU_T1,2,0.0078,16.98,b734d3fa-e838-4c2c-8292-1785199b5fc3,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
239,KONSOGOU_T1,2,0.011,17.85,b734d3fa-e838-4c2c-8292-1785199b5fc3,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
