id,essai_id,systeme,classe,reason,version,computed,source,meta,created_at,updated_at,created_by,updated_by,created_by_batch,updated_by_batch,deleted_by_batch,deleted_at
4e0df0bf-a241-428f-a7f9-1da7385df951,e1a5bb6b-ec3e-476a-b53c-9f0db4384460,AASHTO,A-7-6,"WL=43.39, IP=20.39, Sol argileux",,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
58b8f119-bece-4d67-a36c-bfd6fe9d1bc4,e1a5bb6b-ec3e-476a-b53c-9f0db4384460,USCS,sol fin argileux,Classification unifiée,,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
2f9a1944-fbbd-4e94-80f7-b05b1f92a247,247510ce-a956-4d0f-b9da-bebfa80fd224,AASHTO,A-7-6,"WL=40.91, IP=18.91, Sol argileux",,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
26313b86-c464-43d3-bfe8-331ca128ba3f,247510ce-a956-4d0f-b9da-bebfa80fd224,USCS,sol fin argileux,Classification unifiée,,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
063763ca-4d97-4068-9f5a-6299bf0bc62a,5e8be3d3-ff64-4338-b937-c1d85c14aa53,AASHTO,A-7-6,"WL=46.25, IP=22.65, Sol argileux",,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
55a3845f-228c-4fef-96fd-33f4be459a4c,5e8be3d3-ff64-4338-b937-c1d85c14aa53,USCS,sol fin argileux,Classification unifiée,,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
9c19b449-fa29-4d9b-b720-235d2151f067,727872cf-2143-4801-940c-8024c3ad148a,AASHTO,A-7-6,"WL=44.49, IP=24.8, Sol argileux",,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
95dc9981-f4c0-4956-94bb-8fa7857f78a0,727872cf-2143-4801-940c-8024c3ad148a,USCS,sol fin argileux,Classification unifiée,,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
c5e40d10-7450-44b8-b610-afc85bddfa54,a2806b4d-b7bb-4e7e-91e8-862c49b68835,AASHTO,A-7-6,"WL=41.64, IP=22.6, Sol argileux",,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
4ab311f4-ab64-4a50-a179-6b0f4a10f5ec,a2806b4d-b7bb-4e7e-91e8-862c49b68835,USCS,sol grenu argileux,Classification unifiée,,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
e313df34-a515-427e-88b0-ac6b06f08d8d,5c0c14d1-ed7b-4249-ab1a-d49e66ee2ce6,AASHTO,A-7-5,"WL=69.96, IP=32.96, SOL ARGILEUX",,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
0493ad50-b59b-4e07-a639-83d73c7e373c,5c0c14d1-ed7b-4249-ab1a-d49e66ee2ce6,USCS,sol fin silteux,Classification unifiée,,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
9b8c238e-0b40-464e-b977-054c2faee471,561ef4cc-5e41-4c9b-a28e-c15021edfa2c,AASHTO,A-6,"WL=37.74, IP=18.74, sol argileux",,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
0c26c601-3576-408b-8844-36131467ec85,561ef4cc-5e41-4c9b-a28e-c15021edfa2c,USCS,sol fin argileux,Classification unifiée,,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
ca7300d5-c9b4-4b59-8568-b37335236691,68659f21-7b5b-4e43-b110-90e1d62f7631,AASHTO,A-7-5,"WL=46.5, IP=15.5, SOL ARGILEUX",,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
