id,code_site,depth_m,sieve_mm,mass_refus_cum_g,refus_cum_pct,passants_pct,echantillon_id,created_at,updated_at
393,DZOGBECOPE,1,10,,,100,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
392,DZOGBECOPE,1,5,7.49,1.1,98.9,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
391,DZOGBECOPE,1,2.5,3.26,1.57,98.43,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
390,DZOGBECOPE,1,1.25,7.03,2.6,97.4,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
389,DZOGBECOPE,1,0.63,40.78,8.57,91.43,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
388,DZOGBECOPE,1,0.315,101.99,23.49,76.51,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
387,DZOGBECOPE,1,0.16,121.76,41.3,58.7,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
386,DZOGBECOPE,1,0.08,73.79,52.1,47.9,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
385,DZOGBECOPE,1,0.0555,,,42.82,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
384,DZOGBECOPE,1,0.041,,,40.01,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
383,DZOGBECOPE,1,0.0318,,,36.37,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
382,DZOGBECOPE,1,0.0203,,,32.01,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
381,DZOGBECOPE,1,0.0128,,,27.64,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
380,DZOGBECOPE,1,0.0075,,,24,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
379,DZOGBECOPE,1,0.0048,,,21.68,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
414,DZOGBECOPE,1.5,40,,,100,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
413,DZOGBECOPE,1.5,31.5,,,100,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
412,DZOGBECOPE,1.5,20,,,100,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
411,DZOGBECOPE,1.5,10,,,100,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
410,DZOGBECOPE,1.5,5,1.33,0.2,99.8,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
409,DZOGBECOPE,1.5,2.5,0.66,0.3,99.7,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
408,DZOGBECOPE,1.5,1.25,4.44,0.96,99.04,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
407,DZOGBECOPE,1.5,0.63,27.72,5.08,84.92,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
406,DZOGBECOPE,1.5,0.315,85.85,17.86,82.14,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
405,DZOGBECOPE,1.5,0.16,112.36,34.59,65.41,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
404,DZOGBECOPE,1.5,0.08,69.76,44.98,55.02,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
403,DZOGBECOPE,1.5,0.0665,,,48.98,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
402,DZOGBECOPE,1.5,0.047,,,45.64,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
401,DZOGBECOPE,1.5,0.0348,,,42.08,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
400,DZOGBECOPE,1.5,0.0228,,,37.85,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
399,DZOGBECOPE,1.5,0.014,,,32.73,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
398,DZOGBECOPE,1.5,0.008,,,25.6,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
397,DZOGBECOPE,1.5,0.005,,,21.82,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
432,DZOGBECOPE,2,40,,,100,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
431,DZOGBECOPE,2,31.5,,,100,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
430,DZOGBECOPE,2,20,,,100,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
429,DZOGBECOPE,2,10,,,100,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
428,DZOGBECOPE,2,5,3.18,0.48,99.52,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
427,DZOGBECOPE,2,2.5,1.46,0.7,99.3,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
426,DZOGBECOPE,2,1.25,5.85,1.57,98.43,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
425,DZOGBECOPE,2,0.63,22.68,4.97,95.03,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
424,DZOGBECOPE,2,0.315,68.45,15.23,84.77,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
423,DZOGBECOPE,2,0.16,88.12,28.43,71.57,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
422,DZOGBECOPE,2,0.08,57.95,37.11,62.89,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
421,DZOGBECOPE,2,0.0563,,,59.28,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
420,DZOGBECOPE,2,0.041,,,56.27,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
419,DZOGBECOPE,2,0.0315,,,52.25,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
418,DZOGBECOPE,2,0.02,,,48.83,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
417,DZOGBECOPE,2,0.012,,,46.22,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
416,DZOGBECOPE,2,0.0072,,,41.2,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
