localite_norm,excel_n_wl,excel_n_wp,excel_n_ip_calc,excel_wl_mean,excel_wp_mean,excel_ip_calc_mean,db_n_wl,db_n_wp,db_n_ip_calc,db_wl_mean,db_wp_mean,db_ip_calc_mean,abs_diff_wl,abs_diff_wp,abs_diff_ip,threshold,status
tchamba,3,3,3,32.596666666666664,28.026666666666667,4.57,3,3,3,32.596666666666664,28.026666666666667,4.57,0.0,0.0,0.0,0.1,OK
tchamde,3,3,3,42.06333333333333,31.543333333333333,10.52,3,3,3,42.06333333333333,31.543333333333333,10.52,0.0,0.0,0.0,0.1,OK
tchitchao,3,3,3,26.306666666666665,21.296666666666667,5.01,3,3,3,26.306666666666665,21.296666666666667,5.01,0.0,0.0,0.0,0.1,OK
tekpo,3,3,3,63.21333333333333,28.363333333333333,34.85,3,3,3,63.21333333333333,28.363333333333333,34.85,0.0,0.0,0.0,0.1,OK
tovegan,3,3,3,44.47,17.526666666666667,26.94333333333333,3,3,3,44.47,17.526666666666667,26.94333333333333,0.0,0.0,0.0,0.1,OK
tsevie bleve,3,3,3,30.53666666666667,16.733333333333334,13.803333333333333,3,3,3,30.53666666666667,16.733333333333334,13.803333333333333,0.0,0.0,0.0,0.1,OK
tsevie dalavemodji,3,3,3,34.8,18.1,16.7,3,3,3,34.8,18.1,16.7,0.0,0.0,0.0,0.1,OK
tsevie deve,3,3,3,29.383333333333333,15.153333333333332,14.229999999999999,3,3,3,29.383333333333333,15.153333333333332,14.229999999999999,0.0,0.0,0.0,0.1,OK
wli,3,3,3,25.46,17.973333333333333,7.486666666666666,3,3,3,25.46,17.973333333333333,7.486666666666666,0.0,0.0,0.0,0.1,OK
wome (cascade),0,0,0,,,,3,3,3,49.21,27.80666666666667,21.403333333333332,,,,0.1,NO_COMPARABLE_VALUES
wome (ville),0,0,0,,,,3,3,3,48.69,30.96666666666667,17.723333333333333,,,,0.1,NO_COMPARABLE_VALUES
wome (zongo),0,0,0,,,,3,3,3,51.18,26.403333333333332,24.776666666666667,,,,0.1,NO_COMPARABLE_VALUES
wome cascade,3,3,3,49.21,27.80666666666667,21.403333333333332,3,3,3,49.21,27.80666666666667,21.403333333333332,0.0,0.0,0.0,0.1,OK
wome ville,3,3,3,48.69,30.96666666666667,17.723333333333333,3,3,3,48.69,30.96666666666667,17.723333333333333,0.0,0.0,0.0,0.1,OK
wome zongo,3,3,3,51.18,26.403333333333332,24.776666666666667,3,3,3,51.18,26.403333333333332,24.776666666666667,0.0,0.0,0.0,0.1,OK
yade,3,3,3,31.773333333333333,23.65,8.123333333333333,3,3,3,31.773333333333333,23.65,8.123333333333333,0.0,0.0,0.0,0.1,OK
zomayi,3,3,3,51.586666666666666,29.236666666666668,22.35,3,3,3,51.586666666666666,29.236666666666668,22.35,0.0,0.0,0.0,0.1,OK
zongo 1,3,3,3,47.85333333333334,16.126666666666665,31.726666666666667,3,3,3,47.85333333333334,16.126666666666665,31.726666666666667,0.0,0.0,0.0,0.1,OK
zongo 2,3,3,3,40.666666666666664,15.333333333333334,25.333333333333332,3,3,3,40.666666666666664,15.333333333333334,25.333333333333332,0.0,0.0,0.0,0.1,OK
